owner_id, project_name, commit_hash, old_val, new_val
10373057,webtester2-core,c21653eb34767227ad78542612358df869c799b9,selenium/node-chrome:3.4.0,selenium/node-chrome:3.14
10373057,webtester2-core,c21653eb34767227ad78542612358df869c799b9,selenium/node-firefox:2.53.1-beryllium,selenium/node-firefox:3.14
10380049,softwarecraftsmanshipgc.github.io,4e99b2a001ca0eb6bac46b90d50cf031597e44fb,jekyll/jekyll:pages,jekyll/jekyll:2.4
10380049,softwarecraftsmanshipgc.github.io,9e48ad6b015cda8f6d1e27a965de89698b5f0503,jekyll/jekyll:2.4,python:3.7.1-alpine3.8
10394716,api-gateway,859a77f77571d00490f6e59b1f647c5b6589111b,library/rethinkdb,jlhawn/rethinkdb:2.3.5
10394716,api-gateway,859a77f77571d00490f6e59b1f647c5b6589111b,tutum/rabbitmq:latest,library/rabbitmq:3.6-management-alpine
10394716,api-gateway,d3498d91220a4c4f5688cd94ce118c5bff6f8029,jlhawn/rethinkdb:2.3.5,greyarch/rethinkdb
10414069,mapping-slc,5641c8e940551e1b32c294f4ac8877a8601795a4,mongo,mongo:3.2
10456602,osm2vectortiles,969b1e395541e673e0665e8e99b2fd3725ab3e6f,osm2vectortiles/serve,klokantech/tileserver-mapnik
10456602,osm2vectortiles,1946c6b4c42873dff39201a1250b108475b62320,rabbitmq:3.6.1-management,osm2vectortiles/rabbitmq:management
10456602,osm2vectortiles,3b347caf4ff4fc73a053178ccc3d1547ce61416d,osm2vectortiles/rabbitmq:management,rabbitmq:3.6.1-management
10456602,osm2vectortiles,a1eaf4265df4c73374e549c6c0bd08de9611d5e6,rabbitmq:3.6.1-management,osm2vectortiles/rabbitmq:management
10525954,devstack,8887416a570da5554b7a7666844c7d5dea3b4efb,dockette/devstack:php7-fpm,dockette/devstack:php71-fpm
10525954,devstack,8887416a570da5554b7a7666844c7d5dea3b4efb,dockette/adminer,dockette/adminer:dg
10555120,emergence-lab,32cd2e2666ff266da93a909d87c07190031fe623,emergence/emergence:latest,emergence/emergence:develop
105701,WebODM,e04348b93aee81a184d2106b3ef95ef51ba73706,pierotofy/webodm_webapp,opendronemap/webodm_webapp
105701,WebODM,e04348b93aee81a184d2106b3ef95ef51ba73706,pierotofy/webodm_db,opendronemap/webodm_db
105701,WebODM,1c02b886c577b8001416c28e91dd315b0510277c,opendronemap/webodm_worker,opendronemap/webodm_webapp
10585786,pipeline,243d572290c487770a72652f11df8482ae8a1286,ninai/pipeline,ninai/stimulus-pipeline
10585786,pipeline,147e3385c75cab718a7de7991ec1fd5ca376dc3c,ninai/stimulus-pipeline,ninai/stimulus-pipeline:DLC2.0.5
10585786,pipeline,147e3385c75cab718a7de7991ec1fd5ca376dc3c,ninai/stimulus-pipeline,ninai/stimulus-pipeline:DLC2.0.5
10585786,pipeline,147e3385c75cab718a7de7991ec1fd5ca376dc3c,ninai/stimulus-pipeline,ninai/stimulus-pipeline:DLC2.0.5
10585786,pipeline,1895e3b155cb7cbc111d201445e00cc045a52239,ninai/stimulus-pipeline:DLC2.0.5,ninai/stimulus-pipeline
10585786,pipeline,1895e3b155cb7cbc111d201445e00cc045a52239,ninai/stimulus-pipeline:DLC2.0.5,ninai/pipeline
10585786,pipeline,1895e3b155cb7cbc111d201445e00cc045a52239,ninai/stimulus-pipeline:DLC2.0.5,ninai/stimulus-pipeline
10585786,pipeline,75f1395bc2a7b40e7ffe241edb0d96df2062cfbe,ninai/stimulus-pipeline,ninai/stimulus-pipeline:DLC2.0.5
10585786,pipeline,75f1395bc2a7b40e7ffe241edb0d96df2062cfbe,ninai/pipeline,ninai/stimulus-pipeline:DLC2.0.5
10585786,pipeline,75f1395bc2a7b40e7ffe241edb0d96df2062cfbe,ninai/stimulus-pipeline,ninai/stimulus-pipeline:DLC2.0.5
10585786,pipeline,c3041303de81ec12e8a297cd0c27dba146947355,ninai/stimulus-pipeline:DLC2.0.5,ninai/pipeline:DLC2.0.5-gpu
10585786,pipeline,c3041303de81ec12e8a297cd0c27dba146947355,ninai/stimulus-pipeline:DLC2.0.5,ninai/pipeline:DLC2.0.5-gpu
10585786,pipeline,c3041303de81ec12e8a297cd0c27dba146947355,ninai/stimulus-pipeline:DLC2.0.5,ninai/pipeline:DLC2.0.5-gpu
10585786,pipeline,e13407ad7ec1e71eedcc9a51b26ad6db9c3f32dd,ninai/pipeline:DLC2.0.5-gpu,ninai/pipeline:DLC2.0.5-GPU
