,project,commit_hash,compose_file,other_file,Unclear,Not related,new dockerfile,dockerhub to local or vice-versa,add a resource in dockerfile and run it in docker-compose or the opposite,dockerfile to control existing components,remove a component,changing paths,pining versions,externalisatoin,generalization of a component,redefinition of env,synchronize configs,update versions of dependencies,sync ports,parameterization,update version of the system,expose volume for docker-compose,"Specialization (moving something to dockerhub, having a dockerfile dedicated to only one component instaed of having it reusable for different components)",Other,sync parameters and names
41924,6515218/tipjar,f71d531bf02ced9d5e96c3de09a2317dddbaac85,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
7865,11973967/thumbroll,c443f63d5b74c7e2542ffd56f014e1d865cce17b,docker-compose,dockerfile,,,,,,,,,,,,,,,1,,,,,,
82834,7941965/morpheus,be64c4313744ffa615fd48c57cdf8007f9b1c4d0,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
82365,7709826/docker-nginx-image-proxy,874c64c68949474524f93684829a4aae974caa24,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
29672,3421662/gitlab-ce-zh,093caccedeb995431a607f40cdcafbee09bee9e9,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
70988,34608619/aleph,8a11b5afdab46f61e5c668bd7c857ece0d9434cf,docker-compose,dockerfile,,,,,,,1,,,,,,,,,,,,,,
25721,2916689/arethusa,bb03daf7020dea0728f9c342cfe6054003c94a72,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
2431,10511967/oss-dashboard,eba62e6692c289a53434fdcf0ade6bd72b212f0c,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
48853,8194998/sdh-platform,78e46e701dd08975d8614052181994f11a195641,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
80461,6758750/flindt,73cb511502c28a129edd182d0cb0aa7bdab5e958,docker-compose,dockerfile,,,,,,,,,,,1,,,,,,,,,,
6426,11483752/Streamer-Spring-Cloud-Config-Server,6cc1764c2daadcb4556972273cb24fc4883d3b9f,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
44344,6993404/muon-java,dc28f7a5f6c63cba25721e2e209480449a098048,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
2623,10612409/rest-api,319f70ab195f8e8ac9548d68cb90f40e77572b80,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
47398,785268/lazybones-experiment,8deacc21a77258478d7dc45e40bb0f8e57ea68cd,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
46538,7521604/gippy,6db85984d8c9eae42ffd3bd8f9a940e7c031102e,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
31551,3803762/RTM,3e6866776a8d406b2b6d0d53bcc0d1f3b73a3359,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
20546,2405405/myvbc,2770fa29dc71cae8abb2904700eeb0b37b9d2d9c,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
31094,3712897/LabLog,7d8c12e71ef87382ee0568f94b54ea31d159cfbf,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
6877,1166368/aeonvera-ui,1d939264f78dbc29427965ddd82a357d925d974a,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
33712,4573151/AspNetCoreSpa,ed7239312e2c4c277d7a63407918ba8158753f89,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
84602,9116993/SmartFact,d8b7f0f38c651f177f2613fb1099d9fc87fa0ee8,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
23785,2732948/AFDG,af307c0bff05856ef0f2fd303e4e85ac4910dada,docker-compose,dockerfile,,,1,,,,,1,,,,,,,,,,,,,
52674,9296340/SidewalkWebpage,fd088aa1862e2ac13935e5bfbf7c9b0f39978fcd,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
64007,2873153/phi,4f8a41e13bea6b6ca2eb935de815398cb8660451,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
8666,12301919/supergiant,fae4b5be3ea20526572083459ca03330d99b8a53,docker-compose,dockerfile,,,,,,,,,,,,,,,1,,,,,,
26212,3012012/points-extraction,a4d4389b0686b59301060c83e9f564a76a24d503,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
3252,10860098/bandiera,06ada94534f2beba7776e12cd8308c3968cc899e,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,1,,,
6766,11626129/patroni-docker-boshrelease,ad89b5cb17c5577c05e2e5aa24bf79d8e875acc6,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
19276,2186/MozDef,ed82c775661ae6ee0398a40641028e57425ea92e,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
76065,38676675/soa,001be67f8bc424740af068b0212f33231cb351b0,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
20047,2326433/tmake,1a1e612b49a19050e494cba0d28ac4ae858f155e,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
18348,2059451/rom,96648ed9f2ec60223bfb7ac2aad3e126e0cea07c,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
67167,3232225/docker-build-env,10cba7d5d15a2153647c3a0e2745d9a8b60d6855,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
80713,7253088/dila,db954ea32439100552f7efcc529bfcc4d43da640,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
7204,11699622/hav,34794045a7c3977e59aa32662bb8a73987a38d4a,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
14555,163350/sling-adaptto-2016,ff6b7693fd946e186fbf9e34355177dc67dc54b6,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
50367,8445483/scraper,cfd6805dccef485afd41f6fe45c7a9815bf49ad8,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
1806,1031471/propeller.mvc,9d51fa2b7c6332ee30ec11e5525a695361e0bf26,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
2688,10620619/synergic-ui,4833c8c517a4c1c549ce50de6dd90cea2f99ad19,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
82357,7709826/ajenti-udock,3255edcd279941d51e8903b35310c4ff3fc9b250,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
31358,3772787/WebODM,6709a2c27017fa8adcd712d39705f74acdfac382,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
55097,10675405/CentralTrafficLightManagement,3c5e7c234234af028a2e2aaa2bd501ddaf5ef32c,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
29586,3421662/gitlab-ce-zh,b716379973b4cc28e6b1f3ead0f092da716836e5,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
27095,3043603/inspire-next,76610f1d53e3d76b4e3ad32e672c216c71fb67fd,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
56895,12227941/in-memory-list,139e89eafd1e2f0dfcb576737703cc72c2a52c38,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,1,,,
23357,2683290/docker-elk,aa06a825eb3c8e8dafa97ecb6276b327376003df,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,1,
24501,2823113/go-gin-wrapper,44771bd5021a430764706377a98cb9f0eeb16fe7,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
5615,11434407/pyaddepar,6ace79f6966ab1f2b234ca38bb88a4c80fabc94b,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,1,
78810,527944/esgf-docker,8a305a4489e9a84a1f452fcd6eecac3214ca0719,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
69756,33825097/viestinta,f199e9e88756e1a9920d201315fd72e498153f7e,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
13058,150350/Jotunheimr,22b586798376c3fc6d10e10044885de284142d2f,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,1,,
53307,9436994/thredded,154cb8f732af60dc5d9b9fa197bff3dd720d352a,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
83423,8111662/ng_userxp,c9125c91ce9780183eccc1f71334a7ac65b6a5e1,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
42787,6691/cloud-brain,86466ce20de562287e7cd016eddf5d42afced45a,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
40338,60628/homeland-docker,ecaadacb94edd4217ab2b922cc9b924de6440bc9,docker-compose,dockerfile,,,,,,,,,,,,,,,,1,,,,,
