changed_feature,status,commit_hash,,comment,,persistdataintohost,sharing between component,sharing host data with container,unkown
volumes,iterable_item_added,f7f34ceb2cce4dcfd6c722e8f36eeb91047f996a,https://github.com/search?q=f7f34ceb2cce4dcfd6c722e8f36eeb91047f996a&type=Commits,added configuration file to the root volume to share between all containers,,,1,,
volumes,iterable_item_removed,a4dc25517e26bb2ba65d4dd9121b2133e0bc21fd,https://github.com/search?q=a4dc25517e26bb2ba65d4dd9121b2133e0bc21fd&type=Commits,refactored,,,,,
volumes,dictionary_item_added,470538e6fa7d0d4cf5ecb659b8019dd39fb99cfe,https://github.com/search?q=470538e6fa7d0d4cf5ecb659b8019dd39fb99cfe&type=Commits,new volume added to service,,,,1,
image,dictionary_item_removed,72e12a26fee226682ca30854cd4c6139b0026ac9,https://github.com/search?q=72e12a26fee226682ca30854cd4c6139b0026ac9&type=Commits,manually built image used over registry image,,,,,
volumes,values_changed,30cdf53599643154c10e64b70e77242d99553504,https://github.com/search?q=30cdf53599643154c10e64b70e77242d99553504&type=Commits,relative directory,,,,,
volumes,values_changed,58877a366232886feab4b3982a0827c1b4121848,https://github.com/search?q=58877a366232886feab4b3982a0827c1b4121848&type=Commits,refactoring,,,,,
volumes,dictionary_item_removed,4e98b321f42cb04588e7eb747261666b6045bdbe,https://github.com/search?q=4e98b321f42cb04588e7eb747261666b6045bdbe&type=Commits,volume removed from the service,,,,,
volumes,iterable_item_removed,74285708c31f9b42a9cf98619ed7b2f627d77789,https://github.com/search?q=74285708c31f9b42a9cf98619ed7b2f627d77789&type=Commits,refactor,,,,,
volumes,iterable_item_added,99e8b056f6dbd00e7a11c8f9031afe48834dacc5,https://github.com/search?q=99e8b056f6dbd00e7a11c8f9031afe48834dacc5&type=Commits,new volume mapping added,,,,,1
volumes,iterable_item_added,7b88a0030c5c948b56f24e41db2d2312063e9311,https://github.com/search?q=7b88a0030c5c948b56f24e41db2d2312063e9311&type=Commits,new volume mapping added,,,,1,
image,values_changed,525d3d1190b7e0f1f8ed289a9ced1e66cfeca249,https://github.com/search?q=525d3d1190b7e0f1f8ed289a9ced1e66cfeca249&type=Commits,image version updated,,,,,
volumes,iterable_item_added,9a561fe4ba1fa6727f7a9cb4714506b699e227f8,https://github.com/search?q=9a561fe4ba1fa6727f7a9cb4714506b699e227f8&type=Commits,new volume mapping added,,,,1,
image,values_changed,92ba8e3524475f68eb7d38a05af81f0ead06fb48,https://github.com/search?q=92ba8e3524475f68eb7d38a05af81f0ead06fb48&type=Commits,image tag added,,,,,
image,values_changed,bc44f3c4a1ca4c5dcab140a34ddd20106b35192d,https://github.com/search?q=bc44f3c4a1ca4c5dcab140a34ddd20106b35192d&type=Commits,image digest sha changed,,,,,
volumes,dictionary_item_added,811698264868c6a90e82864c9d75824e3e372475,https://github.com/search?q=811698264868c6a90e82864c9d75824e3e372475&type=Commits,new volume added to service,,,,1,
image,values_changed,24beb9815bc10a47744231fc8990388ac3ea72d8,https://github.com/search?q=24beb9815bc10a47744231fc8990388ac3ea72d8&type=Commits,image version upgraded,,,,,
volumes,dictionary_item_added,06a5f39758955c6334a7a6a163813fa50bd2d684,https://github.com/search?q=06a5f39758955c6334a7a6a163813fa50bd2d684&type=Commits,new volume added to service,,,,,1
volumes,dictionary_item_added,6a2147de4ce7cd146a9cfbef86966e4d0cb10e94,https://github.com/search?q=6a2147de4ce7cd146a9cfbef86966e4d0cb10e94&type=Commits,new volume added to service,,,,,1
volumes,dictionary_item_removed,3d91e25e88a3535a2f4077dc3cde36bcb36f6cee,https://github.com/search?q=3d91e25e88a3535a2f4077dc3cde36bcb36f6cee&type=Commits,removed volume from service,,,,,
volumes,values_changed,1545b33d58f7235b0c4d1659c1d1574f70d5373b,https://github.com/search?q=1545b33d58f7235b0c4d1659c1d1574f70d5373b&type=Commits,removed volume,,,,,
image,values_changed,75076b6e433d54ea8bd221d5b58f3a3bc42909b1,https://github.com/search?q=75076b6e433d54ea8bd221d5b58f3a3bc42909b1&type=Commits,image tag changed,,,,,
image,values_changed,3e5a855ea79f4e5ca5f1ace1c93a217addbaaff1,https://github.com/search?q=3e5a855ea79f4e5ca5f1ace1c93a217addbaaff1&type=Commits,image tag changed,,,,,
volumes,iterable_item_added,3215d5628d989c3e63bc0f2b2523b397b8b42be9,https://github.com/search?q=3215d5628d989c3e63bc0f2b2523b397b8b42be9&type=Commits,added new volume,,,,,1
image,values_changed,315c49c3241f984e60fcf35178c3e1f16a9cd33f,https://github.com/search?q=315c49c3241f984e60fcf35178c3e1f16a9cd33f&type=Commits,image version upgraded,,,,,
